commit_time,gpt_mean,gpt_std,lstm_mean,lstm_std,md_counts
1,1.3333333333333333,0.9428090415820634,2.5,2.5,0.0
51,0.3333333333333333,0.4714045207910317,1.5,0.5,0.0
101,0.0,0.0,2.0,1.0,0.0
151,0.3333333333333333,0.4714045207910317,2.0,1.0,0.0
201,0.3333333333333333,0.4714045207910317,1.0,0.0,0.0
251,0.0,0.0,1.5,0.5,0.0
301,0.3333333333333333,0.4714045207910317,2.0,1.0,0.0
351,0.3333333333333333,0.4714045207910317,1.5,0.5,0.0
401,0.0,0.0,0.5,0.5,0.0
451,0.0,0.0,0.5,0.5,0.0
501,0.3333333333333333,0.4714045207910317,0.0,0.0,0.0
551,0.0,0.0,1.5,0.5,0.0
601,0.0,0.0,0.0,0.0,0.0
651,0.0,0.0,0.0,0.0,0.0
701,0.6666666666666666,0.9428090415820634,1.5,1.5,0.0
751,0.3333333333333333,0.4714045207910317,1.0,1.0,0.0
801,0.0,0.0,0.5,0.5,0.0
851,0.3333333333333333,0.4714045207910317,2.0,1.0,0.0
901,1.0,0.816496580927726,3.0,0.0,0.0
951,0.6666666666666666,0.9428090415820634,1.5,1.5,0.0
1001,0.3333333333333333,0.4714045207910317,0.5,0.5,0.0
1051,0.0,0.0,1.5,0.5,0.0
1101,0.3333333333333333,0.4714045207910317,0.5,0.5,0.0
1151,0.3333333333333333,0.4714045207910317,0.5,0.5,0.0
1201,0.0,0.0,2.0,0.0,0.0
1251,0.0,0.0,1.5,1.5,0.0
1301,0.3333333333333333,0.4714045207910317,0.5,0.5,0.0
1351,0.0,0.0,0.5,0.5,0.0
1401,0.0,0.0,0.0,0.0,0.0
1451,0.3333333333333333,0.4714045207910317,2.0,1.0,0.0
